session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,First Language,Student Status,Fluent languages,Current Country of Residence,Sex,Country of Birth,Employment Status,Nationality
5bbbc1e9852cd50001c2de81,5bb9db4a56161d0001006da1,APPROVED,2018-10-08 20:45:45.527000,2018-10-08 21:12:16.820000,1591.293,34,26,0,100,2018-10-18 23:34:00.755000,ZQSEZJGY,English,No,English,United States,Male,United States,Full-Time,United States
5bbbc1fbb46f070001cd92bd,5bb6315db734a20001f7a88c,APPROVED,2018-10-08 20:45:53.542000,2018-10-08 21:20:32.315000,2078.773,30,21,0,100,2018-10-18 23:34:02.563000,ZQSEZJGY,English,Yes,English,United States,Male,United States,Full-Time,United States
5bc8e402f1b9f00001c32cc9,5bb3866e7e60c20001ac63f5,AWAITING REVIEW,2018-10-18 19:50:31.216000,2018-10-18 20:23:58.850000,2007.634,26,6,0,100,,ZQSEZJGY,Spanish,No,Spanish,Mexico,Female,Mexico,Full-Time,Mexico
5bc8e4020f10750001d70b96,559d9916fdf99b1e2b2dc6b8,AWAITING REVIEW,2018-10-18 19:50:30.407000,2018-10-18 20:22:41.665000,1931.258,65,218,0,100,,ZQSEZJGY,English,No,English,United States,Female,United States,"Not in paid work (e.g. homemaker, retired or disabled)",United States
5bc8e409b1e7160001bbe392,5b6a1096bd09a0000191be09,AWAITING REVIEW,2018-10-18 19:53:58.124000,2018-10-18 20:21:53.847000,1675.723,43,32,0,100,,ZQSEZJGY,English,No,English,United Kingdom,Female,United Kingdom,Full-Time,United Kingdom
5bc8e40ce4b8040001842bdd,5b6068f79f910b0001447dd0,AWAITING REVIEW,2018-10-18 19:50:38.784000,2018-10-18 20:18:25.836000,1667.052,19,21,0,100,,ZQSEZJGY,Polish,Yes,English,Poland,Male,Poland,,Poland
5bc8e411d9b017000157b444,5ba520cf2e6de20001980b1a,AWAITING REVIEW,2018-10-18 19:50:43.641000,2018-10-18 20:19:36.807000,1733.166,26,10,0,100,,ZQSEZJGY,Spanish,No,Spanish,Mexico,Male,Mexico,Full-Time,Mexico
5bc8e4133d893f0001beab35,5ae608ca02d85e00017db18d,AWAITING REVIEW,2018-10-18 19:52:48.521000,2018-10-18 20:30:35.883000,2267.362,53,128,1,100,,ZQSEZJGY,English,No,English,United Kingdom,Female,United Kingdom,Full-Time,United Kingdom
5bc8e41632e46700016e7d38,5ad3482a459c3500011378f0,AWAITING REVIEW,2018-10-18 19:57:12.355000,2018-10-18 20:29:06.787000,1914.432,23,197,2,100,,ZQSEZJGY,English,Yes,English,United States,Male,United States,Part-Time,United States
5bc8e416b35bc50001d33fb8,59d3966ed704ba0001fe7e01,AWAITING REVIEW,2018-10-18 19:50:49.643000,2018-10-18 20:16:50.383000,1560.74,40,215,1,100,,ZQSEZJGY,English,No,English,United Kingdom,Male,United Kingdom,Full-Time,United Kingdom
5bc8e41a24085800013f8420,597fc43e413c2300012916f1,AWAITING REVIEW,2018-10-18 19:50:55.119000,2018-10-18 20:16:14.680000,1519.561,51,174,2,100,,ZQSEZJGY,English,No,English,United Kingdom,Female,United Kingdom,Unemployed (and job seeking),United Kingdom
5bc8e41b40247c000147ebbb,58b20a24c352cc0001ed554b,AWAITING REVIEW,2018-10-18 19:50:54.525000,2018-10-18 20:20:10.030000,1755.505,31,160,0,100,,ZQSEZJGY,Pashto,No,English,United Kingdom,Female,Pakistan,Unemployed (and job seeking),United States
5bc8e41b40247c000147ebbc,5b7aefd06c1ccb000178b710,AWAITING REVIEW,2018-10-18 19:51:01.102000,2018-10-18 20:26:51.858000,2150.756,56,85,1,100,,ZQSEZJGY,English,No,English,United States,Female,United States,Other,United States
5bc8e41f3de6df00019ebfb5,5baf5525ad2a8d0001403d25,AWAITING REVIEW,2018-10-18 19:54:24.388000,2018-10-18 20:31:30.366000,2225.978,21,16,0,100,,ZQSEZJGY,English,Yes,English,United Kingdom,Female,United Kingdom,Part-Time,United Kingdom
5bc8e420db6540000144dfdd,5b05cc3511a9a900012e715f,AWAITING REVIEW,2018-10-18 19:52:35.941000,2018-10-18 20:21:13.276000,1717.335,38,100,3,99,,ZQSEZJGY,English,No,Afrikaans,United Kingdom,Male,United Kingdom,Unemployed (and job seeking),United Kingdom
5bc8e4209427200001dd3eab,5661b70173ac870011804059,AWAITING REVIEW,2018-10-18 19:51:02.331000,2018-10-18 20:23:24.029000,1941.698,62,238,7,97,,ZQSEZJGY,English,No,English,United States,Male,United States,,United States
5bc8e421d9b017000157b448,5bacd6b7a88b2b00011f0a3f,AWAITING REVIEW,2018-10-18 19:51:15.238000,2018-10-18 20:19:38.364000,1703.126,22,7,0,100,,ZQSEZJGY,German,No,English,Switzerland,Male,Switzerland,Full-Time,Switzerland
5bc8e423a695e10001ce7299,59634af44d00a70001bf38bd,AWAITING REVIEW,2018-10-18 19:51:09.067000,2018-10-18 20:27:28.008000,2178.941,38,127,3,99,,ZQSEZJGY,English,Yes,English,United Kingdom,Female,Ireland,Full-Time,Ireland
